File,Width,Height,Channels,DataType,Description,DateTime
HeLa_GM130_CENP-F_011.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.2800000000000333
loop=false
min=394.0
max=839.0",N/A
HeLa_GM130_CENP-F_012.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.27999999999995767
loop=false
min=394.0
max=2033.0",N/A
HeLa_GM130_CENP-F_013.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=395.0
max=858.0",N/A
HeLa_GM130_CENP-F_014.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=395.0
max=793.0",N/A
HeLa_GM130_CENP-F_015.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.27999999999995767
loop=false
min=395.0
max=818.0",N/A
HeLa_GM130_CENP-F_016.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=394.0
max=695.0",N/A
HeLa_GM130_CENP-F_017.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28000000000004654
loop=false
min=393.0
max=827.0",N/A
HeLa_GM130_CENP-F_018.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=349.0
max=712.0",N/A
HeLa_GM130_CENP-F_019.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=395.0
max=946.0",N/A
HeLa_GM130_CENP-F_020.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=395.0
max=1373.0",N/A
HeLa_GM130_CENP-F_021.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=395.0
max=878.0",N/A
HeLa_GM130_CENP-F_022.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=393.0
max=1075.0",N/A
HeLa_GM130_CENP-F_023.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=394.0
max=921.0",N/A
HeLa_GM130_CENP-F_024.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=344.0
max=731.0",N/A
HeLa_GM130_CENP-F_025.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.27999999999995767
loop=false
min=395.0
max=712.0",N/A
HeLa_GM130_CENP-F_026.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=345.0
max=1142.0",N/A
HeLa_GM130_CENP-F_027.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=346.0
max=847.0",N/A
HeLa_GM130_CENP-F_028.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=348.0
max=851.0",N/A
HeLa_GM130_CENP-F_029.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.28
loop=false
min=336.0
max=720.0",N/A
HeLa_GM130_CENP-F_030.tif,1024,3,1024,uint16,"ImageJ=1.53t
images=3
channels=3
mode=color
unit=micron
spacing=0.2800000000000333
loop=false
min=358.0
max=738.0",N/A
